id,destinationTable,participant,sourceTable,statement,submitTime
670,charlied,306,charlie,"SELECT * FROM charlie WHERE TFR < 1850 & CFR < 1650","2019-07-11 15:51:13.728000"
671,charlied,306,charlie,"SELECT * FROM charlie WHERE TFR < 1850","2019-07-11 15:51:29.536000"
673,charlied,306,charlie,"SELECT * FROM charlie WHERE TFR < 1850 %% CFR < 1650","2019-07-11 15:52:09.928000"
674,charlied,306,charlie,"SELECT * FROM charlie WHERE TFR < 1850 && CFR < 1650","2019-07-11 15:52:19.647000"
676,charlied,306,charlie,"SELECT * FROM charlie WHERE TFR < 2000 && CFR < 1650","2019-07-11 15:53:01.888000"
678,golfd,1007,golf,"select distinct sver from golf where sver <= 1996","2019-07-11 15:54:59.431000"
679,indiad,306,india,"SELECT * FROM juliett a, india b WHERE a.CUI = b.CUI","2019-07-11 15:54:15.557000"
681,foxtrotd,50,foxtrot,foxtrot,"2019-07-11 15:54:37.801000"
682,golfd,1007,golf,"select distinct sver from golf where sver < 1996","2019-07-11 15:55:18.130000"
683,alphad,105,alpha,"select * from alpha where MIN = 0","2019-07-11 15:55:17.558000"
686,indiad,306,india,"SELECT LAT, STT, ISPREF FROM juliett a, india b WHERE a.CUI = b.CUI","2019-07-11 15:55:22.094000"
689,bravod,4060,bravo,"SELECT RUI FROM bravo WHERE CUI1 = 'C0000039'","2019-07-11 15:55:54.560000"
694,hoteld,1119,hotel,"SELECT CUI, TUI from hotel ORDER BY TUI DESC","2019-07-11 15:56:16.549000"
695,echod,50,echo,echo,"2019-07-11 15:56:22.927000"
699,indiad,306,india,"SELECT LAT, STT, ISPREF FROM juliett a, india b WHERE a.CUI = b.CUI GROUP BY CVF","2019-07-11 15:56:33.272000"
700,hoteld,1119,hotel,"SELECT CUI, STN, TUI from hotel ORDER BY TUI DESC","2019-07-11 15:56:34.209000"
701,bravod,4060,bravo,"SELECT RUI FROM bravo WHERE CUI1 == 'C0000039'","2019-07-11 15:56:36.992000"
702,indiad,306,india,"SELECT LAT, STT, ISPREF FROM juliett a, india b WHERE a.CUI = b.CUI GROUP BY CUI","2019-07-11 15:56:42.718000"
704,foxtrotd,50,foxtrot,"SELECT * FROM foxtrot","2019-07-11 15:56:49.157000"
705,hoteld,1119,hotel,"SELECT CUI, TUI from hotel ORDER BY TUI DESC, STN","2019-07-11 15:56:51.845000"
707,indiad,306,india,"SELECT LAT, STT, ISPREF FROM juliett a, india b WHERE a.CUI = b.CUI GROUP BY STT","2019-07-11 15:56:58.359000"
709,hoteld,1119,hotel,"SELECT CUI,TUI, STN, TUI from hotel ORDER BY TUI DESC","2019-07-11 15:57:10.314000"
710,indiad,306,india,"SELECT LAT, STT, ISPREF FROM juliett a, india b WHERE a.CUI = b.CUI GROUP BY ISPREF","2019-07-11 15:57:13.638000"
716,foxtrotd,5250,foxtrot,"SELECT mrrank_rank, sab, tty, suppress FROM foxtrot ORDER BY mrrank_rank ASC","2019-07-11 15:57:30.678000"
717,foxtrotd,50,foxtrot,"SELECT * FROM foxtrot WHERE TTY = PT, TTY = SY","2019-07-11 15:57:32.269000"
719,foxtrotd,50,foxtrot,"SELECT * FROM foxtrot WHERE TTY = PT","2019-07-11 15:57:37.649000"
721,bravod,200,bravo,"SELECT REL FROM bravo where rel='RO';","2019-07-11 15:57:39.542000"
723,indiad,306,india,"SELECT LAT, STT, ISPREF FROM juliett a, india b WHERE a.CUI = b.CUI && TS = 'S'","2019-07-11 15:57:46.988000"
724,bravod,4060,bravo,"SELECT RUI FROM sqlsearchdata.bravo WHERE CUI1 = 'C0000039'","2019-07-11 15:57:51.334000"
725,indiad,306,india,"SELECT LAT, STT, ISPREF FROM juliett a, india b WHERE a.CUI = b.CUI && TS = 'P'","2019-07-11 15:57:55.174000"
728,hoteld,1119,hotel,"SELECT CUI, TUI from hotel, STN ORDER BY TUI DESC","2019-07-11 15:58:04.977000"
732,foxtrotd,50,foxtrot,"SELECT TTY FROM foxtrot","2019-07-11 15:58:11.532000"
733,hoteld,1119,hotel,"SELECT CUI, STN, TUI from hotelORDER BY TUI DESC","2019-07-11 15:58:14.231000"
737,bravod,200,bravo,"SELECT * FROM bravo where REL='RO';","2019-07-11 15:58:34.482000"
738,foxtrotd,50,foxtrot,"SELECT TTY FROM foxtrot WHERE foxtrot.tty = PT","2019-07-11 15:58:38.005000"
740,deltad,17,delta,"select RSAB, tfr from delta","2019-07-11 15:58:51.876000"
742,hoteld,1119,hotel,"SELECT * TUI from hotel ORDER BY TUI DESC","2019-07-11 15:59:04.553000"
743,foxtrotd,50,foxtrot,"SELECT TTY FROM foxtrot WHERE foxtrot.pt = tty","2019-07-11 15:59:04.587000"
744,indiad,306,india,"SELECT LAT, STT, ISPREF FROM juliett, india  WHERE juliett.CUI = india.CUI","2019-07-11 15:59:12.911000"
746,indiad,306,india,"SELECT LAT, STT, ISPREF FROM juliett, india WHERE juliett.CUI = india.CUI","2019-07-11 15:59:20.004000"
747,hoteld,1119,hotel,"SELECT TUI from hotel ORDER BY TUI DESC","2019-07-11 15:59:28.174000"
749,bravod,200,bravo,"SELECT * FROM bravo where REL='RO';","2019-07-11 15:59:30.204000"
750,foxtrotd,5250,foxtrot,"SELECT mrrank_rank, sab, tty, suppress FROM foxtrot WHERE tty = 'PT', 'SY'","2019-07-11 15:59:43.153000"
752,hoteld,1119,hotel,"SELECT CUI, TUI, STN from hotel ORDER BY TUI DESC","2019-07-11 15:59:46.621000"
753,foxtrotd,50,foxtrot,"SELECT * FROM foxtrot WHERE tty","2019-07-11 15:59:55.560000"
755,bravod,4060,bravo,"SELECT CUI1 FROM bravo WHERE CUI1 = 'C0000039'","2019-07-11 15:59:56.138000"
758,kilod,109,kilo,"SELECT LUI, CUI FROM kilo GROUP BY LUI","2019-07-11 15:59:58.491000"
761,bravod,200,bravo,"SELECT cui1, rui FROM bravo where REL='RO';","2019-07-11 16:00:09.293000"
762,bravod,4060,bravo,"SELECT CUI1, RUI FROM bravo WHERE CUI1 = 'C0000039'","2019-07-11 16:00:11.120000"
763,foxtrotd,50,foxtrot,"SELECT * FROM foxtrot WHERE tty = foxtrot.pt","2019-07-11 16:00:11.932000"
764,indiad,306,india,"SELECT LAT, STT, ISPREF FROM juliett, india WHERE india.CUI = juliett.CUI","2019-07-11 16:00:27.742000"
765,foxtrotd,50,foxtrot,"SELECT * FROM foxtrot WHERE pt = foxtrot.tty","2019-07-11 16:00:28.242000"
767,foxtrotd,3,foxtrot,"SELECT * FROM foxtrot GROUP BY SAB WHERE TTY = 'SY', TTY = 'PT""","2019-07-11 16:00:29.363000"
768,foxtrotd,105,foxtrot,"select * from foxtrot where TTY = 'PT' or (SAB = 'RXNORM' and TTY = 'SY')","2019-07-11 16:00:35.403000"
772,indiad,306,india,"SELECT * LAT, STT, ISPREF FROM juliett, india WHERE india.CUI = juliett.CUI","2019-07-11 16:01:01.233000"
773,hoteld,1119,hotel,"SELECT CUI, TUI, STN from hotel ORDER BY TUI DESC, CUI DESC","2019-07-11 16:01:01.441000"
775,foxtrotd,3,foxtrot,"SELECT * FROM foxtrot GROUP BY SAB WHERE TTY = 'SY' OR TTY = 'PT""","2019-07-11 16:01:09.012000"
776,foxtrotd,50,foxtrot,"SELECT * FROM foxtrot WHERE foxtrot.tty = ""PT""","2019-07-11 16:01:10.668000"
777,indiad,306,india,"SELECT * FROM juliett, india WHERE india.CUI = juliett.CUI","2019-07-11 16:01:17.852000"
778,foxtrotd,3,foxtrot,"SELECT * FROM foxtrot GROUP BY SAB WHERE TTY = 'SY' OR TTY = 'PT'","2019-07-11 16:01:19.883000"
780,foxtrotd,50,foxtrot,"SELECT * FROM foxtrot WHERE foxtrot.tty = ""PT"", foxtrot.tty = ""SY""","2019-07-11 16:01:27.557000"
781,foxtrotd,3,foxtrot,"SELECT * FROM foxtrot GROUP BY SAB","2019-07-11 16:01:28.638000"
782,hoteld,1119,hotel,"SELECT CUI, TUI, STN from hotel ORDER BY TUI DESC, CUI ASC","2019-07-11 16:01:31.610000"
784,foxtrotd,50,foxtrot,"SELECT * FROM foxtrot WHERE foxtrot.tty = ""PT"", ""SY""","2019-07-11 16:01:41.894000"
789,deltad,4060,delta,"SELECT RSAB, TFR FROM delta WHERE TFR > 470","2019-07-11 16:01:58.650000"
792,alphad,1119,alpha,"SELECT * FROM alpha WHERE MIN = 0;","2019-07-11 16:02:22.101000"
795,foxtrotd,105,foxtrot,"select * from foxtrot where TTY = 'PT' or TTY = 'SY' group by SAB","2019-07-11 16:02:25.763000"
796,foxtrotd,50,foxtrot,"SELECT * FROM foxtrot WHERE foxtrot.tty = ""PT, SY""","2019-07-11 16:02:28.462000"
798,deltad,4060,delta,"SELECT RSAB, TFR FROM delta WHERE TFR > 470, TFR <= 1833","2019-07-11 16:02:50.911000"
799,hoteld,109,hotel,"SELECT CUI, TUI, STN FROM hotel ORDER BY TUI DESC, CUI ASC","2019-07-11 16:02:57.944000"
802,deltad,4060,delta,"SELECT RSAB, TFR FROM delta WHERE TFR > 470 && TFR <= 1833","2019-07-11 16:03:03.850000"
803,foxtrotd,3,foxtrot,"SELECT * FROM foxtrot GROUP BY SAB ORDER BY mrrank_rank DESC","2019-07-11 16:03:07.323000"
805,foxtrotd,1007,foxtrot,"select MRRANK_RANK, TTY, SUPPRESS from foxtrot where MRRANK_RANK == 405, TTY == 'PT'","2019-07-11 16:03:18.510000"
808,hoteld,306,hotel,"SELECT $columns FROM hotel WHERE STN ORDER BY $column [ASC | DESC]","2019-07-11 16:03:38.752000"
810,golfd,109,golf,"SELECT DISCTINCT SVER FROM golf","2019-07-11 16:03:46.761000"
811,golfd,109,golf,"SELECT DISTINCT SVER FROM golf","2019-07-11 16:03:55.016000"
812,hoteld,306,hotel,"SELECT STN FROM hotel WHERE STN ORDER BY $column [DESC]","2019-07-11 16:03:55.500000"
816,foxtrotd,105,foxtrot,"select * from foxtrot where TTY = 'PT' or (TTY = 'SY' and SAB > 400) order by MRRANK_RANK desc","2019-07-11 16:04:13.391000"
817,foxtrotd,5250,foxtrot,"SELECT DISTINCT mrrank_rank, sab, tty, suppress FROM foxtrot","2019-07-11 16:04:15.617000"
819,hoteld,306,hotel,"SELECT * FROM hotel WHERE STN ORDER BY STN [DESC]","2019-07-11 16:04:27.256000"
821,golfd,109,golf,"SELECT SVER FROM golf GROUP BY SVER","2019-07-11 16:04:27.849000"
822,foxtrotd,105,foxtrot,"select * from foxtrot where TTY = 'PT' or (TTY = 'SY' and MRRANK_RANK > 400) order by MRRANK_RANK desc","2019-07-11 16:04:33.907000"
826,hoteld,306,hotel,"SELECT * FROM hotel WHERE TUI ORDER BY TUI [DESC]","2019-07-11 16:04:44.361000"
828,foxtrotd,105,foxtrot,"select * from foxtrot where TTY = 'PT' or (TTY = 'SY' and MRRANK_RANK > 400)","2019-07-11 16:04:45.751000"
831,bravod,200,bravo,"SELECT CUI1, RUI FROM bravo where REL='RO', 'SY';","2019-07-11 16:04:54.183000"
832,bravod,200,bravo,"SELECT CUI1, RUI FROM bravo where REL='RO' or 'SY';","2019-07-11 16:05:01.280000"
834,foxtrotd,3,foxtrot,"SELECT * FROM foxtrot WHERE TTY = 'PT' OR TTY = 'SY' GROUP BY SAB ORDER BY mrrank_rank DESC;","2019-07-11 16:05:04.041000"
835,kilod,1119,kilo,"SELECT LUI, CUI from kilo GROUP BY LUI","2019-07-11 16:05:07.010000"
842,hoteld,306,hotel,"SELECT * FROM hotel WHERE * ORDER BY TUI [DESC]","2019-07-11 16:05:12.909000"
844,bravod,200,bravo,"SELECT CUI1, RUI FROM bravo where REL='RO', REL='SY';","2019-07-11 16:05:21.801000"
845,hoteld,306,hotel,"SELECT * FROM hotel ORDER BY TUI [DESC]","2019-07-11 16:05:25.991000"
846,bravod,200,bravo,"SELECT CUI1, RUI FROM bravo where REL='RO', and REL='SY';","2019-07-11 16:05:26.445000"
847,golfd,105,golf,"select distinct SVER from golf where SVER <= 1995","2019-07-11 16:05:28.821000"
850,charlied,4060,charlie,"SELECT RSAB, SF, TFR, CFR, TTYL, WHERE TTYL ='$PT'","2019-07-11 16:05:30.440000"
851,bravod,200,bravo,"SELECT CUI1, RUI FROM bravo where REL='RO', & REL='SY';","2019-07-11 16:05:31.974000"
852,hoteld,306,hotel,"SELECT * FROM hotel ORDER BY TUI DESC","2019-07-11 16:05:32.140000"
853,golfd,109,golf,"SELECT SVER FROM golf WHERE SVR < 1996 GROUP BY SVER","2019-07-11 16:05:35.193000"
854,foxtrotd,50,foxtrot,"SELECT * FROM foxtrot WHERE foxtrot.tty = ""PT"" OR foxtrot.tty = ""SY""","2019-07-11 16:05:36.327000"
855,golfd,17,golf,"select sver from golf where rcui <= C1140108","2019-07-11 16:05:40.624000"
856,charlied,4060,charlie,"SELECT RSAB, SF, TFR, CFR, TTYL, WHERE TTYL$PT","2019-07-11 16:05:47.158000"
859,bravod,200,bravo,"SELECT CUI1, RUI FROM bravo where REL='RO', or REL='SY';","2019-07-11 16:05:51.319000"
860,golfd,17,golf,"select sver from golf where rcui <= 'C1140108'","2019-07-11 16:05:55.890000"
862,foxtrotd,3,foxtrot,"SELECT * FROM foxtrot WHERE TTY = 'PT' OR TTY = 'SY' OR SAB != 'DRUGBANK' GROUP BY SAB ORDER BY mrrank_rank DESC;","2019-07-11 16:06:01.132000"
863,foxtrotd,1007,foxtrot,"select * from foxtrot where MRRANK_RANK == 405, tty == 'PT'","2019-07-11 16:06:01.569000"
868,bravod,200,bravo,"SELECT CUI1, RUI FROM bravo where REL='RO' or REL='SY';","2019-07-11 16:06:09.248000"
869,foxtrotd,3,foxtrot,"SELECT * FROM foxtrot WHERE TTY = 'PT' OR TTY = 'SY' AND SAB != 'DRUGBANK' GROUP BY SAB ORDER BY mrrank_rank DESC;","2019-07-11 16:06:09.819000"
871,golfd,109,golf,"SELECT DISTINCT SVER FROM golf WHERE SVR < 1996","2019-07-11 16:06:10.952000"
873,hoteld,306,hotel,"SELECT * FROM hotel ORDER BY TUI, CUI DESC","2019-07-11 16:06:12.407000"
877,hoteld,306,hotel,"SELECT * FROM hotel ORDER BY * DESC","2019-07-11 16:06:24.118000"
878,bravod,200,bravo,"SELECT CUI1, RUI FROM bravo where REL='RO' & REL='SY';","2019-07-11 16:06:28.108000"
879,hoteld,306,hotel,"SELECT * FROM hotel ORDER BY CUI DESC","2019-07-11 16:06:28.248000"
880,foxtrotd,50,foxtrot,"SELECT * FROM foxtrot WHERE foxtrot.tty = ""PT"" OR foxtrot.tty = ""SY"" AND foxtrot.tty = 405","2019-07-11 16:06:32.897000"
884,charlied,4060,charlie,"SELECT RSAB, SF, TFR, CFR, TTYL WHERE TTYL = 'PT'","2019-07-11 16:06:40.579000"
885,hoteld,306,hotel,"SELECT * FROM hotel ORDER BY TUI DESC, CUI ASC","2019-07-11 16:06:41.489000"
887,deltad,105,delta,"select * from delta where TFR < 2000","2019-07-11 16:06:42.824000"
889,foxtrotd,3,foxtrot,"SELECT *","2019-07-11 16:06:50.617000"
890,foxtrotd,50,foxtrot,"SELECT * FROM foxtrot WHERE foxtrot.tty = ""PT"" OR foxtrot.tty = ""SY"" AND foxtrot.mrrank_rank = 405","2019-07-11 16:06:50.667000"
894,kilod,5250,kilo,"SELECT lui, cui FROM kilo ORDER BY lui","2019-07-11 16:06:56.596000"
895,foxtrotd,3,foxtrot,"SELECT * FROM foxtrot","2019-07-11 16:06:56.799000"
896,charlied,4060,charlie,"SELECT RSAB, SF, TFR, CFR, TTYL FROM charlie WHERE TTYL = 'PT'","2019-07-11 16:06:59.267000"
898,hoteld,512,hotel,"SELECT TUI FROM HOTEL WHERE TUI ORDER BY TUI ASC","2019-07-11 16:07:01.351000"
904,kilod,5250,kilo,"SELECT DISTINCT lui, cui FROM kilo ORDER BY lui","2019-07-11 16:07:08.332000"
905,foxtrotd,3,foxtrot,"SELECT * FROM foxtrot WHERE (TTY = 'PT' OR TTY = 'SY') AND SAB != 'DRUGBANK' GROUP BY SAB ORDER BY mrrank_rank DESC;","2019-07-11 16:07:11.171000"
907,bravod,1119,bravo,"SELECT CUI1, RUI, FROM bravo WHERE CUI2 == C0364349;","2019-07-11 16:07:15.419000"
909,bravod,200,bravo,"SELECT CUI1, RUI FROM bravo where REL= 'RO';","2019-07-11 16:07:22.154000"
911,golfd,109,golf,"SELECT DISTINCT SVER FROM golf WHERE SVER < 1996","2019-07-11 16:07:25.806000"
914,foxtrotd,1007,foxtrot,"select * from foxtrot where MRRANK_RANK = 405,","2019-07-11 16:07:33.452000"
915,bravod,1119,bravo,"SELECT CUI1, RUI, FROM bravo, WHERE CUI2 = C0364349;","2019-07-11 16:07:35.741000"
916,foxtrotd,1007,foxtrot,"select * from foxtrot where MRRANK_RANK = 405","2019-07-11 16:07:38.471000"
917,charlied,4060,charlie,"SELECT RSAB, SF, TFR, CFR, TTYL FROM charlie WHERE TTYL = 'PT' OR TTYL = 'ET'","2019-07-11 16:07:39.925000"
918,bravod,1119,bravo,"SELECT CUI1, RUI, FROM bravo WHERE CUI2 = 'C0364349';","2019-07-11 16:07:49.481000"
919,bravod,1119,bravo,"SELECT CUI1, RUI, FROM bravo, WHERE CUI2 = 'C0364349';","2019-07-11 16:07:53.423000"
920,echod,306,echo,"SELECT * FROM echo WHERE TTY = 'CD' OR TTY = 'PT'","2019-07-11 16:07:55.128000"
922,foxtrotd,50,foxtrot,"SELECT * FROM foxtrot WHERE foxtrot.tty = ""PT"" OR DISTINCT foxtrot.tty = ""SY""","2019-07-11 16:08:02.307000"
923,deltad,105,delta,"select * from delta where CFR < 1696","2019-07-11 16:07:12.874000"
924,bravod,200,bravo,"SELECT CUI1, RUI FROM bravo where REL= 'RO' or STYPE2 = ""AUI';","2019-07-11 16:08:10.967000"
926,kilod,5250,kilo,"SELECT DISTINCT cui, lui FROM kilo ORDER BY lui","2019-07-11 16:08:15.594000"
927,deltad,105,delta,"select RSAB, TFR from delta where CFR < 1696","2019-07-11 16:08:17.618000"
928,bravod,200,bravo,"SELECT CUI1, RUI FROM bravo where REL= 'RO',  STYPE2 = ""AUI';","2019-07-11 16:08:18.415000"
930,hoteld,512,hotel,"SELECT TUI FROM HOTEL WHERE TUI ORDER BY TUI ASC;","2019-07-11 16:08:28.938000"
936,foxtrotd,50,foxtrot,"SELECT * FROM foxtrot WHERE foxtrot.tty = ""PT"" OR foxtrot.tty = ""SY"" AND foxtrot.mrrank_rank > 400","2019-07-11 16:08:51.341000"
938,bravod,1119,bravo,"SELECT CUI1, RUI, FROM bravo WHERE REL = 'RO';","2019-07-11 16:08:57.370000"
939,foxtrotd,1007,foxtrot,"select * from foxtrot where tty = 'PT'","2019-07-11 16:08:57.591000"
943,echod,306,echo,"SELECT * FROM echo WHERE MRRANK_RANK <= 384 && TTY = 'CD' OR TTY = 'PT'","2019-07-11 16:09:05.845000"
945,hoteld,3,hotel,"SELECT * FROM hotel ORDER BY TUI DESC, CUI ASC;","2019-07-11 16:09:06.735000"
947,hoteld,105,hotel,"select * from hotel order by TUI desc","2019-07-11 16:09:08.161000"
951,hoteld,105,hotel,"select * from hotel order by TUI desc, CUI","2019-07-11 16:09:19.778000"
953,alphad,17,alpha,"select COL, DES, MIN, AV, MAX, FIL from alpha where min = 0","2019-07-11 16:09:21.511000"
957,echod,306,echo,"SELECT * FROM echo WHERE MRRANK_RANK <= 384 && (TTY = 'CD' OR TTY = 'PT')","2019-07-11 16:09:30.389000"
958,charlied,109,charlie,"SELECT * FROM charlie WHERE TFR <= 1834","2019-07-11 16:09:32.647000"
959,charlied,4060,charlie,"SELECT RSAB, SF, TFR, CFR, TTYL FROM charlie WHERE CFR >= 280 AND CFR <=1634","2019-07-11 16:09:39.875000"
963,echod,50,echo,"SELECT * FROM echo","2019-07-11 16:10:01.474000"
967,charlied,109,charlie,"SELECT * FROM charlie WHERE CFR < 1635","2019-07-11 16:10:19.495000"
971,foxtrotd,1007,foxtrot,"select * from foxtrot where tty = 'PT', mrrank_rank = 405","2019-07-11 16:10:25.144000"
972,bravod,1119,bravo,"SELECT CUI1, RUI, FROM bravo WHERE REL='RO';","2019-07-11 16:10:25.944000"
973,bravod,1119,bravo,"SELECT CUI1, RUI FROM bravo WHERE REL='RO';","2019-07-11 16:10:39.804000"
975,echod,306,echo,"SELECT * FROM echo WHERE MRRANK_RANK <= 384 && (TTY = 'CD' OR TTY = 'PT' OR TTY = 'IN' OR TTY = 'SY' OR TTY = 'FSY' OR TTY = 'N1' OR TTY = 'PCE')","2019-07-11 16:10:40.942000"
976,golfd,3,golf,"SELECT SVER FROM golf WHERE SVER <= 1995 OR SVER >= 1990 GROUP BY SVER;","2019-07-11 16:10:46.733000"
977,echod,105,echo,"select * from echo where MRRANK_RANK < 385 order by MRRANK_RANK desc group by SAB","2019-07-11 16:10:48.735000"
978,echod,50,echo,"SELECT * FROM echo WHERE echo.mrrank_rank > 366 AND echo.mrrank_rank < 385","2019-07-11 16:10:50.272000"
979,golfd,3,golf,"SELECT SVER FROM golf WHERE SVER <= 1995 AND SVER >= 1990 GROUP BY SVER;","2019-07-11 16:11:02.417000"
980,foxtrotd,1007,foxtrot,"select * from foxtrot where tty = 'PT' or mrrank_rank = 405","2019-07-11 16:11:08.636000"
986,foxtrotd,109,foxtrot,"SELECT * FROM foxtrot GROUP BY SAB","2019-07-11 16:11:46.546000"
990,kilod,17,kilo,"select LUI, CUI from kilo where CUI >= LUI","2019-07-11 16:11:57.201000"
991,hoteld,512,hotel,"SELECT CUI, TUI FROM HOTEL WHERE TUI ORDER BY TUI ASC","2019-07-11 16:12:00.382000"
994,kilod,306,kilo,"SELECT DISTINCT LUI FROM kilo","2019-07-11 16:12:21.662000"
996,foxtrotd,1007,foxtrot,"select * from foxtrot where MRRANK_RANK = 405 tty = 'PT'","2019-07-11 16:12:23.191000"
998,kilod,306,kilo,"SELECT * DISTINCT LUI FROM kilo","2019-07-11 16:12:28.243000"
999,echod,50,echo,"SELECT * FROM echo WHERE echo.mrrank_rank > 366 AND echo.mrrank_rank < 380","2019-07-11 16:12:28.649000"
1000,bravod,1119,bravo,"SELECT CUI1, RUI FROM bravo WHERE CUI2='C0364349';","2019-07-11 16:12:33.979000"
1002,kilod,306,kilo,"SELECT DISTINCT LUI, CUI FROM kilo","2019-07-11 16:12:48.484000"
1004,kilod,17,kilo,"select Distinct LUI, CUI from kilo","2019-07-11 16:13:01.577000"
1007,golfd,3,golf,"SELECT SVER FROM golf WHERE VCUI <= C1140107;","2019-07-11 16:13:07.200000"
1009,kilod,5250,kilo,"SELECT DISTINCT lui, cui FROM kilo","2019-07-11 16:13:12.396000"
1013,kilod,17,kilo,"select LUI, CUI from kilo grouped by LUI","2019-07-11 16:13:19.217000"
1014,golfd,3,golf,"SELECT SVER FROM golf WHERE VCUI <= 'C1140107';","2019-07-11 16:13:19.766000"
1016,kilod,17,kilo,"select LUI, CUI from kilo group by LUI","2019-07-11 16:13:29.853000"
1019,kilod,306,kilo,"SELECT DISTINCT LUI, CUI FROM kilo GROUP BY LUI","2019-07-11 16:13:31.490000"
1021,golfd,3,golf,"SELECT * FROM golf;","2019-07-11 16:13:44.383000"
1022,foxtrotd,109,foxtrot,"SELECT * FROM foxtrot WHERE TTY = SY or PT GROUP BY SAB","2019-07-11 16:13:49.726000"
1024,echod,105,echo,"select * from echo where MRRANK_RANK < 380 or (MRRANK_RANK < 385 and MRRANK_RANK % 2 = 0)","2019-07-11 16:13:56.193000"
1025,echod,50,echo,"SELECT * FROM echo WHERE echo.mrrank_rank > 366 AND echo.mrrank_rank < 380 OR echo.mrrank_rank > 380 AND echo.mrrank_rank % 2 = 0 AND echo.mrrank_rank < 385","2019-07-11 16:13:57.037000"
1027,foxtrotd,109,foxtrot,"SELECT * FROM foxtrot WHERE TTY = 'SY' or 'PT' GROUP BY SAB","2019-07-11 16:14:05.176000"
1031,echod,105,echo,"select * from echo where MRRANK_RANK < 380 or (MRRANK_RANK < 385 and MRRANK_RANK > 380 and MRRANK_RANK % 2 = 0)","2019-07-11 16:14:22.504000"
1033,deltad,1119,delta,"SELECT RSAB, TFR FROM delta WHERE TFR < 1834;","2019-07-11 16:14:27.044000"
1035,charlied,4060,charlie,"SELECT RSAB, SF, TFR, CFR, TTYL FROM charlie WHERE TTYL = '%PT'","2019-07-11 16:14:28.150000"
1036,foxtrotd,109,foxtrot,"SELECT * FROM foxtrot WHERE TTY = 'SY' or  TTY = 'PT' GROUP BY SAB","2019-07-11 16:14:35.881000"
1038,bravod,306,bravo,"SELECT * FROM bravo WHERE CUI = 'C0364349'","2019-07-11 16:14:40.910000"
