id,destinationTable,participant,sourceTable,statement,submitTime
1039,charlied,4060,charlie,"SELECT RSAB, SF, TFR, CFR, TTYL FROM charlie WHERE TTYL = '%PT' OR TTYL = '%SY'","2019-07-11 16:14:47.779000"
1041,indiad,200,india,"SELECT LAT, STT, ISPREF from india, juliett where TS='P';","2019-07-11 16:14:53.487000"
1042,bravod,306,bravo,"SELECT CUI1, RUI FROM bravo WHERE CUI2 = 'C0364349'","2019-07-11 16:14:57.262000"
1045,deltad,1119,delta,"SELECT RSAB, TFR FROM delta WHERE CFR < 1834;","2019-07-11 16:15:03.678000"
1046,deltad,1119,delta,"SELECT RSAB, TFR FROM delta WHERE CFR < 1834;","2019-07-11 16:15:03.678000"
1047,indiad,200,india,"SELECT LAT, STT, ISPREF from juliett where TS='S';","2019-07-11 16:15:21.741000"
1049,golfd,3,golf,"SELECT * FROM golf WHERE VCUI = 'C1140092' OR VCUI = 'C1140098' OR VCUI = 'C1140099' OR VCUI = 'C1140105' OR VCUI = 'C114107'","2019-07-11 16:15:25.130000"
1050,foxtrotd,1007,foxtrot,"select * from foxtrot where MRRANK_RANK > 400 and tty = 'SY' or tty = 'PT'","2019-07-11 16:15:25.348000"
1052,golfd,3,golf,"SELECT SVER FROM golf WHERE VCUI = 'C1140092' OR VCUI = 'C1140098' OR VCUI = 'C1140099' OR VCUI = 'C1140105' OR VCUI = 'C114107'","2019-07-11 16:15:32.574000"
1055,kilod,17,kilo,"select LAT, STT, ISPREF from india a, juliett b where a.CUI = b.CUI","2019-07-11 16:15:40.359000"
1056,indiad,200,india,"SELECT LAT, STT, ISPREF from juliett where TS='P';","2019-07-11 16:15:42.405000"
1057,alphad,306,alpha,"SELECT * FROM alpha WHERE MIN = 8","2019-07-11 16:15:43.263000"
1058,alphad,306,alpha,"SELECT * FROM alpha WHERE MIN = 0","2019-07-11 16:15:50.772000"
1065,golfd,3,golf,"SELECT SVER FROM golf WHERE VCUI = 'C1140092' OR VCUI = 'C1140098' OR VCUI = 'C1140099' OR VCUI = 'C1140105' OR VCUI = 'C1140107'","2019-07-11 16:16:04.190000"
1067,echod,105,echo,"select * from echo where MRRANK_RANK < 380 or TTY = 'CD'","2019-07-11 16:16:05.253000"
1069,golfd,3,golf,"SELECT SVER FROM golf WHERE VCUI = 'C1140092' OR VCUI = 'C1140098' OR VCUI = 'C1140099' OR VCUI = 'C1140105' OR VCUI = 'C1140107';","2019-07-11 16:16:12.540000"
1076,indiad,17,india,"select distinct LAT, STT, ISPREF from india a, juliett b where a.CUI = b.CUI","2019-07-11 16:16:20.221000"
1079,indiad,200,india,"SELECT LAT, STT, ISPREF from juliett where TS='P' oerder by ISPREF ASC;","2019-07-11 16:16:23.033000"
1080,indiad,200,india,"SELECT LAT, STT, ISPREF from juliett where TS='P' order by ISPREF ASC;","2019-07-11 16:16:30.014000"
1083,deltad,306,delta,"SELECT * FROM delta WHERE TFR < 1900","2019-07-11 16:16:33.079000"
1085,alphad,50,alpha,SELECT,"2019-07-11 16:16:36.771000"
1086,hoteld,1007,hotel,"select * from hotel order by TUI desc","2019-07-11 16:16:37.726000"
1087,deltad,4060,delta,"SELECT SVER from golf WHERE SVER >= 1990 AND SVER <= 1995","2019-07-11 16:16:37.794000"
1089,deltad,306,delta,"SELECT RSAB, TFR FROM delta WHERE TFR < 1900","2019-07-11 16:16:45.615000"
1091,alphad,50,alpha,"SELECT * FROM alpha","2019-07-11 16:16:48.493000"
1093,charlied,1119,charlie,"SELECT * FROM charlie WHERE CFR < 1635;","2019-07-11 16:16:51.660000"
1103,hoteld,1007,hotel,"select * from hotel order by TUI desc and CUI asc","2019-07-11 16:17:09.885000"
1105,deltad,306,delta,"SELECT RSAB, TFR FROM delta WHERE TFR < 1900 && CFR < 1650","2019-07-11 16:17:14.455000"
1106,indiad,200,india,"SELECT LAT, STT, ISPREF from juliett where TS='P' order by ISPREF ASC, STT ASC;","2019-07-11 16:17:15.376000"
1108,alphad,50,alpha,"SELECT * FROM alpha WHERE alpha.min = 0","2019-07-11 16:17:27.584000"
1112,golfd,4060,golf,"SELECT DISTINCT SVER from golf WHERE SVER >= 1990 AND SVER <= 1995","2019-07-11 16:17:36.672000"
1116,foxtrotd,109,foxtrot,"SELECT * FROM foxtrot WHERE TTY = 'SY' or  TTY = 'PT' GROUP BY SAB ORDER BY RANK DESC","2019-07-11 16:17:46.285000"
1117,charlied,1119,charlie,"SELECT DISTINCT SVER FROM golf;","2019-07-11 16:17:47.963000"
1121,foxtrotd,109,foxtrot,"SELECT * FROM foxtrot WHERE TTY = 'SY' or  TTY = 'PT' GROUP BY SAB ORDER BY MRRANK_RANK DESC","2019-07-11 16:17:58.290000"
1125,charlied,1119,charlie,"SELECT DISTINCT SVER FROM golf WHERE SVER < 1995;","2019-07-11 16:18:08.405000"
1126,golfd,4060,golf,"SELECT DISTINCT SVER from golf","2019-07-11 16:18:09.077000"
1128,foxtrotd,306,foxtrot,"SELECT * FROM foxtrot where TTY = 'PT' OR TTY = 'SY'","2019-07-11 16:18:14.287000"
1133,indiad,50,india,"SELECT * FROM india","2019-07-11 16:18:24.419000"
1134,golfd,1119,golf,"SELECT DISTINCT SVER FROM golf WHERE SVER < 1996;","2019-07-11 16:18:30.028000"
1137,indiad,50,india,"SELECT * FROM juliet","2019-07-11 16:18:37.399000"
1138,hoteld,1007,hotel,"select * from hotel order by TUI desc, CUI asc","2019-07-11 16:18:37.668000"
1140,indiad,200,india,"SELECT LAT, STT, ISPREF from juliett where TS='P' order by SUI ASC, ISPREF ASC, STT ASC;","2019-07-11 16:18:40.055000"
1142,indiad,50,india,"SELECT * FROM juliett","2019-07-11 16:18:49.519000"
1145,foxtrotd,306,foxtrot,"SELECT * FROM foxtrot WHERE TTY = 'PT' OR TTY = 'SY' GROUP BY SAB","2019-07-11 16:19:00.315000"
1146,indiad,200,india,"SELECT LAT, STT, ISPREF from juliett where TS='P' order by SUI DESC, ISPREF ASC, STT ASC;","2019-07-11 16:19:02.528000"
1149,bravod,3,bravo,"SELECT CUI1, RUI FROM bravo WHERE CUI1 = 'C0000039' AND REL = 'RO';","2019-07-11 16:19:10.339000"
1150,indiad,50,india,"SELECT lat, set, ispref FROM juliett","2019-07-11 16:19:13.308000"
1151,bravod,3,bravo,"SELECT CUI1, RUI FROM bravo WHERE CUI1 = 'C0000039' AND REL = 'RO';","2019-07-11 16:19:17.682000"
1154,indiad,200,india,"SELECT LAT, STT, ISPREF from juliett where TS='P' order by SUI DESC, ISPREF ASC;","2019-07-11 16:19:29.089000"
1155,indiad,17,india,"select LAT, STT, ISPREF from india a, juliett b where a.CUI = b.CUI and TS = 'P'","2019-07-11 16:19:32.372000"
1158,foxtrotd,306,foxtrot,"SELECT * FROM foxtrot WHERE TTY = 'PT' OR TTY = 'SY' GROUP BY TTY","2019-07-11 16:19:37.890000"
1159,indiad,17,india,"select LAT, STT, ISPREF from india a, juliett b where a.CUI = b.CUI and TS = 'S'","2019-07-11 16:19:43.645000"
1162,indiad,50,india,"SELECT LAT FROM juliet","2019-07-11 16:19:52.066000"
1164,indiad,105,india,"select * from juliett j
inner join india i on j.CUI = i.CUI","2019-07-11 16:19:58.943000"
1171,indiad,1119,india,"SELECT LAT, STT, ISPREF FROM juliett WHERE india.CUI = juliett.CUI;","2019-07-11 16:20:07.643000"
1172,golfd,4060,golf,"SELECT DISTINCT SVER from golf WHERE SVER < 1996","2019-07-11 16:20:08.904000"
1180,indiad,50,india,"SELECT LAT FROM juliett","2019-07-11 16:20:18.760000"
1183,bravod,3,bravo,"SELECT CUI1, RUI FROM bravo WHERE REL = 'RO' OR REL = 'SY';","2019-07-11 16:20:22.409000"
1185,indiad,50,india,"SELECT LAT, STT FROM juliett","2019-07-11 16:20:25.474000"
1187,indiad,50,india,"SELECT LAT, STT, ISPREF FROM juliett","2019-07-11 16:20:32.992000"
1190,foxtrotd,306,foxtrot,"SELECT * FROM foxtrot WHERE TTY = 'PT' OR TTY = 'SY' && SAB != 'DRUGBANK' GROUP BY SAB","2019-07-11 16:20:40.739000"
1193,golfd,200,golf,"SELECT DISTINCT SVER from golf;","2019-07-11 16:20:53.396000"
1195,indiad,1119,india,"SELECT LAT, STT, ISPREF FROM juliett WHERE CUI = india.CUI;","2019-07-11 16:21:01.678000"
1196,indiad,1007,india,"select LAT, STT, ISPREF distinct from juliett","2019-07-11 16:21:02.632000"
1201,golfd,512,golf,"SELECT TOP 5 SVER FROM GOLF","2019-07-11 16:21:11.444000"
1202,indiad,17,india,"select LAT, STT, ISPREF from india a, juliett b where a.CUI = b.CUI grouped by a.CUI","2019-07-11 16:21:14.669000"
1203,foxtrotd,306,foxtrot,"SELECT * FROM foxtrot WHERE TTY = 'PT' OR TTY = 'SY' && SAB != 'DRUGBANK' GROUP BY SAB ORDER BY MRRANK_RANK DESC","2019-07-11 16:21:16.102000"
1205,indiad,1007,india,"select distinct LAT, STT, ISPREF  from juliett","2019-07-11 16:21:16.446000"
1206,golfd,200,golf,"SELECT DISTINCT SVER from golf where SVER<1996;","2019-07-11 16:21:19.798000"
1208,indiad,17,india,"select LAT, STT, ISPREF from india a, juliett b where a.CUI = b.CUI group by a.CUI","2019-07-11 16:21:19.925000"
1209,indiad,1119,india,"SELECT LAT, STT ISPREF FROM juliett, india WHERE CUI = india.CUI;","2019-07-11 16:21:20.409000"
1210,indiad,17,india,"select LAT, STT, ISPREF from india a, juliett b where a.CUI = b.CUI group by b.CUI","2019-07-11 16:21:26.852000"
1211,indiad,1119,india,"SELECT LAT, STT, ISPREF FROM juliett, india WHERE juliett.CUI = india.CUI;","2019-07-11 16:21:28.336000"
1216,bravod,3,bravo,"SELECT CUI1, RUI FROM bravo WHERE 'REL = 'RO' AND CUI1 = 'C0000039';","2019-07-11 16:21:53.467000"
1218,indiad,50,india,"SELECT LAT, STT, ISPREF FROM juliett WHERE juliett.stt = ""PF"" AND juliett.ISPREF = ""N""","2019-07-11 16:22:03.183000"
1219,bravod,3,bravo,"SELECT CUI1, RUI FROM bravo WHERE REL = 'RO' AND CUI1 = 'C0000039';","2019-07-11 16:22:05.030000"
1222,golfd,4060,golf,"SELECT MRRANK_RANK, SAB, TTY, SUPPRESS from echo WHERE MMRRANK_RANK <= 386 AND MMRRANK_RANK >=367","2019-07-11 16:22:08.265000"
1226,indiad,50,india,"SELECT LAT, STT, ISPREF FROM juliett WHERE juliett.stt = ""PF"" AND juliett.ISPREF = ""N"" OR juliett.stt = ""VO"" AND juliett.ISPREF = ""Y""","2019-07-11 16:22:18.359000"
1236,golfd,4060,golf,"SELECT MRRANK_RANK, SAB, TTY, SUPPRESS from echo WHERE MRRANK_RANK <= 384 AND MRRANK_RANK >=367","2019-07-11 16:22:25.663000"
1243,indiad,50,india,"SELECT LAT, STT, ISPREF FROM juliett WHERE juliett.stt = ""PF"" AND juliett.ISPREF = ""N"" OR juliett.stt = ""VO"" AND juliett.ISPREF = ""Y"" OR juliett.stt = ""VC"" AND juliett.ISPREF = ""Y""","2019-07-11 16:22:33.977000"
1246,indiad,1007,india,"select distinct LUI from juliett","2019-07-11 16:22:42.432000"
1247,alphad,200,alpha,"SELECT * from alpha where MIN=0;","2019-07-11 16:22:48.162000"
1251,golfd,306,golf,"SELECT SVER FROM golf WHERE SVER < 1996 && SVER > 1989","2019-07-11 16:23:04.391000"
1252,indiad,1007,india,"select LAT, STT, ISPREF distinct LUI from juliett","2019-07-11 16:23:04.438000"
1254,indiad,50,india,"SELECT LAT, STT, ISPREF FROM juliett WHERE juliett.stt = ""PF"" AND juliett.ISPREF = ""N"" OR juliett.stt = ""VO"" AND juliett.ISPREF = ""Y"" OR juliett.stt = ""VC"" AND juliett.ISPREF = ""Y"" OR juliett.stt = ""PF"" AND juliett.ISPREF = ""Y""","2019-07-11 16:23:11.206000"
1255,indiad,17,india,"select LAT, STT, ISPREF from india a, juliett b where a.CUI = b.CUI AND a.CVF = 256","2019-07-11 16:23:11.581000"
1256,golfd,512,golf,"SELECT SVER FROM GOLF WHERE ROWMUN <=5","2019-07-11 16:23:11.659000"
1259,golfd,306,golf,"SELECT DISTINCT SVER FROM golf WHERE SVER < 1996 && SVER > 1989","2019-07-11 16:23:19.093000"
1263,indiad,105,india,"select j.LAT, j.STT, j.ISPREF from india i, juliett j where i.CUI = j.CUI","2019-07-11 16:23:23.363000"
1264,golfd,512,golf,"SELECT SVER FROM GOLF WHERE ROWNUM <=5","2019-07-11 16:23:32.286000"
1267,golfd,512,golf,"SELECT SVER FROM GOLF WHERE ROWNUM <=5;","2019-07-11 16:23:37.371000"
1268,indiad,1119,india,"SELECT LAT, STT, ISPREF FROM juliett, india WHERE juliett.CUI = india.CUI, india.CVF < 258;","2019-07-11 16:23:42.577000"
1269,charlied,3,charlie,"SELECT * FROM charlie;","2019-07-11 16:23:48.143000"
1270,echod,109,echo,"SELECT DISTINCT * FROM echo ORDER BY MRRANK_RANK DESC","2019-07-11 16:23:57.461000"
1272,golfd,512,golf,"SELECT SVER FROM GOLF WHERE ROWNUM <=5 ;","2019-07-11 16:24:04.737000"
1277,echod,200,echo,"SELECT * from echo where MRRANK_RANK<385;","2019-07-11 16:24:40.896000"
1280,indiad,1007,india,"select LAT, STT, ISPREF from juliett, india where india.CUI = juliet.CUI","2019-07-11 16:24:51.385000"
1282,indiad,105,india,"select * from india i, juliett j where i.CUI = j.CUI","2019-07-11 16:25:05.127000"
1283,indiad,1007,india,"select LAT, STT, ISPREF from juliett, india where india.CUI = juliett.CUI","2019-07-11 16:25:09.657000"
1284,echod,109,echo,"SELECT * FROM echo WHERE SAB LIKE 'U' ORDER BY MRRANK_RANK DESC","2019-07-11 16:25:16.108000"
1285,charlied,3,charlie,"SELECT * FROM charlie WHERE CFR < 1650;","2019-07-11 16:25:22.581000"
1291,golfd,306,golf,"SELECT DISTINCT SVER FROM golf WHERE SVER < 2000","2019-07-11 16:25:23.812000"
1298,echod,4060,echo,"SELECT MRRANK_RANK, SAB, TTY, SUPPRESS from echo WHERE MRRANK_RANK <= 384 AND MRRANK_RANK >=367 AND TTY != 'IN'","2019-07-11 16:25:25.948000"
1301,golfd,306,golf,"SELECT DISTINCT SVER FROM golf WHERE SVER < 1996","2019-07-11 16:25:30.512000"
1303,indiad,50,india,"SELECT LAT, STT, ISPREF FROM juliett WHERE juliett.LUI = L0000268 OR juliett.LUI = L0000275","2019-07-11 16:25:34.084000"
1306,indiad,50,india,"SELECT LAT, STT, ISPREF FROM juliett WHERE juliett.LUI = ""L0000268"" OR juliett.LUI = ""L0000275""","2019-07-11 16:25:44.002000"
1307,hoteld,17,hotel,"select * from hotel sort by TUI desc","2019-07-11 16:25:52.999000"
1309,hoteld,17,hotel,"select * from hotel sorted by TUI desc","2019-07-11 16:25:58.809000"
1315,indiad,105,india,"select j.LAT, j.STT, j.ISPREF from india i, juliett j where i.CUI = j.CUI and i.CVF <= 255","2019-07-11 16:26:10.923000"
1316,indiad,1119,india,"SELECT LAT, STT, ISPREF FROM juliett, india WHERE juliett.CUI = DISTINCT india.CUI;","2019-07-11 16:26:11.235000"
1321,indiad,105,india,"select * from india i, juliett j where i.CUI = j.CUI and i.CVF <= 255","2019-07-11 16:26:21.379000"
1328,hoteld,17,hotel,"select * from hotel order by TUI desc","2019-07-11 16:26:57.962000"
1329,indiad,306,india,"SELECT LAT STT ISPREF FROM juliett WHERE juliett.CUI = india.CUI","2019-07-11 16:26:59.432000"
1330,indiad,50,india,"SELECT LAT, STT, ISPREF FROM juliett WHERE juliett.LUI = ""L0000268"" OR juliett.LUI = ""L0000275"" OR juliett.LUI = ""L0000287""","2019-07-11 16:27:00.079000"
1335,indiad,3,india,"SELECT * FROM india, juliet WHERE india.CUI = juliet.CUI;","2019-07-11 16:27:27.565000"
1338,indiad,50,india,"SELECT LAT, STT, ISPREF FROM juliett WHERE juliett.LUI = ""L0000268"" OR juliett.LUI = ""L0000275"" OR juliett.LUI = ""L0000287"" OR juliett.STT = ""VC""","2019-07-11 16:27:30.745000"
1339,hoteld,17,hotel,"select * from hotel order by TUI desc, CUI asc","2019-07-11 16:27:30.761000"
1341,indiad,3,india,"SELECT * FROM india, juliett WHERE india.CUI = juliett.CUI;","2019-07-11 16:27:36.264000"
1347,bravod,1007,bravo,"select CUI1, RUI from bravo where CUI2 = C0364349","2019-07-11 16:28:01.893000"
1348,indiad,306,india,"SELECT LAT, STT, ISPREF FROM juliett WHERE juliett.CUI = india.CUI","2019-07-11 16:28:06.276000"
1349,echod,109,echo,"SELECT CUI1, RUI WHERE CUI1 = 'C0000039' and CUI2 = 'C0364349'","2019-07-11 16:28:09.134000"
1350,bravod,1007,bravo,"select CUI1, RUI from bravo where CUI2 = C0364349","2019-07-11 16:28:10.957000"
1352,indiad,306,india,"SELECT LAT, STT, ISPREF FROM juliett, inida WHERE juliett.CUI = india.CUI","2019-07-11 16:28:14.257000"
1353,indiad,50,india,m,"2019-07-11 16:28:15.188000"
1358,foxtrotd,1119,foxtrot,"SELECT * FROM foxtrot WHERE TTY = 'PT';","2019-07-11 16:28:27.135000"
1359,echod,109,echo,"SELECT CUI1, RUI FROM bravo WHERE CUI1 = 'C0000039' and CUI2 = 'C0364349'","2019-07-11 16:28:28.517000"
1360,echod,200,echo,"SELECT * from echo where MRRANK_RANK<380 & MRRANK_RANK=382 & MRRANK_RANK=384;","2019-07-11 16:28:35.514000"
1361,indiad,306,india,"SELECT LAT, STT, ISPREF FROM juliett, india WHERE juliett.CUI = india.CUI GROUP BY CUI","2019-07-11 16:28:38.921000"
1362,echod,200,echo,"SELECT * from echo where MRRANK_RANK<380 or MRRANK_RANK=382 or MRRANK_RANK=384;","2019-07-11 16:28:48.350000"
1368,indiad,306,india,"SELECT LAT, STT, ISPREF FROM juliett, india WHERE juliett.CUI = india.CUI GROUP BY LAT","2019-07-11 16:28:59.704000"
1372,bravod,1007,bravo,"select CUI1, RUI from bravo where CUI2 = 'C0364349'","2019-07-11 16:29:04.179000"
1376,charlied,50,charlie,"SELECT* FROM charlie","2019-07-11 16:29:10.539000"
1377,foxtrotd,1119,foxtrot,"SELECT * FROM foxtrot WHERE TTY = 'PT', MRRANK_RANK = 405;","2019-07-11 16:29:14.522000"
1378,bravod,17,bravo,"select CUI1, RUI from bravo where REL = 'RO'","2019-07-11 16:29:17.160000"
1383,indiad,4060,india,"SELECT LAT, STT, ISPREF FROM india, juliett, WHERE india.CUI = juliett.CUI","2019-07-11 16:29:22.475000"
1385,indiad,4060,india,"SELECT LAT, STT, ISPREF FROM india, juliett, WHERE india.CUI == juliett.CUI","2019-07-11 16:29:31.747000"
1387,indiad,3,india,"SELECT * FROM india, juliett WHERE juliett.CUI = india.CUI;","2019-07-11 16:29:45.567000"
1388,indiad,306,india,"SELECT DISTINCT LAT, STT, ISPREF FROM juliett, india WHERE juliett.CUI = india.CUI","2019-07-11 16:29:47.047000"
1391,indiad,105,india,"select j.LAT, j.STT, j.ISPREF from india i, juliett j where i.CUI = j.CUI and TUI <> 'T116'","2019-07-11 16:29:56.910000"
1396,charlied,50,charlie,"SELECT* FROM charlie WHERE charlie.SF = ""MTHMST"" OR charlie.SF = ""ICPC"" OR charlie.SF = ""CCS"" OR charlie.SF = ""AOT"" OR charlie.SF = ""TKMT""","2019-07-11 16:30:04.613000"
1398,foxtrotd,1119,foxtrot,"SELECT * FROM foxtrot WHERE MRRANK_RANK = 405;","2019-07-11 16:30:08.743000"
1399,indiad,4060,india,"SELECT LAT, STT, ISPREF FROM india i , juliett j WHERE i.CUI = j.CUI","2019-07-11 16:30:10.914000"
1402,foxtrotd,1119,foxtrot,"SELECT * FROM foxtrot WHERE MRRANK_RANK = 405 ||  TTY = 'PT', ;","2019-07-11 16:30:21.732000"
1403,foxtrotd,1119,foxtrot,"SELECT * FROM foxtrot WHERE MRRANK_RANK = 405 ||  TTY = 'PT';","2019-07-11 16:30:27.633000"
1405,indiad,4060,india,"SELECT DISTINCT LAT, STT, ISPREF FROM india i , juliett j WHERE i.CUI = j.CUI","2019-07-11 16:30:28.039000"
1406,indiad,3,india,"SELECT * FROM juliett, india WHERE juliett.CUI = india.CUI;","2019-07-11 16:30:29.015000"
1413,indiad,3,india,"SELECT * FROM juliett, india WHERE juliett.CUI = india.CUI GROUP BY STT;","2019-07-11 16:30:54.443000"
1418,indiad,3,india,"SELECT * FROM juliett, india WHERE juliett.CUI = india.CUI GROUP BY CUI;","2019-07-11 16:31:04.029000"
1420,indiad,3,india,"SELECT * FROM juliett, india WHERE juliett.CUI = india.CUI GROUP BY juliett.CUI;","2019-07-11 16:31:16.736000"
1423,bravod,105,bravo,"select CUI1, RUI from bravo where CUI1 = 'C0000039' and CUI2 = 'C0364349'","2019-07-11 16:31:19.893000"
1425,indiad,4060,india,"SELECT LAT, STT, ISPREF, CUI FROM india i , juliett j WHERE i.CUI = j.CUI","2019-07-11 16:31:21.624000"
1426,indiad,306,india,"SELECT DISTINCT CUI FROM juliett, india WHERE juliett.CUI = india.CUI","2019-07-11 16:31:24.564000"
1428,indiad,4060,india,"SELECT LAT, STT, ISPREF, FROM india i , juliett j WHERE i.CUI = j.CUI","2019-07-11 16:31:30.460000"
1429,indiad,306,india,"SELECT DISTINCT CVF FROM juliett, india WHERE juliett.CUI = india.CUI","2019-07-11 16:31:31.397000"
1434,bravod,105,bravo,"select CUI1, RUI from bravo where CUI2 = 'C0364349'","2019-07-11 16:31:41.095000"
1436,indiad,3,india,"SELECT * FROM juliett, india WHERE juliett.CUI = india.CUI GROUP BY juliett.CUI AND STT;","2019-07-11 16:31:50.836000"
1437,bravod,109,bravo,"SELECT CUI1, RUI FROM bravo WHERE REL = 'RO' and CUI2 = 'C0364349'","2019-07-11 16:31:54.624000"
1440,bravod,17,bravo,"select CUI1, RUI from bravo where REL = 'RO' or REL = 'SY'","2019-07-11 16:32:09.168000"
1441,alphad,1007,alpha,"select * from alpha where min = '0'","2019-07-11 16:32:12.678000"
1445,foxtrotd,1119,foxtrot,"SELECT * FROM echo WHERE MRRANK_RANK < 385","2019-07-11 16:32:19.952000"
1450,deltad,200,delta,"SELECT RSAB, TFR from delta where TFR<1834;","2019-07-11 16:32:25.620000"
1451,charlied,50,charlie,"SELECT * FROM charlie WHERE charlie.ttyl = ""PT""","2019-07-11 16:32:31.589000"
1453,indiad,4060,india,"SELECT LAT, STT, ISPREF FROM india i , juliett j WHERE i.CUI = j.CUI AND j.TS = P","2019-07-11 16:32:39.155000"
1455,indiad,4060,india,"SELECT LAT, STT, ISPREF FROM india i , juliett j WHERE i.CUI = j.CUI AND j.TS = 'P'","2019-07-11 16:32:45.589000"
1461,echod,512,echo,"SELECT MRRANK_RANK FROM ECHO WHERE MRRANK_RANK <= 348","2019-07-11 16:33:18.696000"
1462,echod,306,echo,"SELECT * FROM echo WHERE MRRANK_RANK < 385 && TTY != 'IN' OR TTY != 'HC'","2019-07-11 16:33:27.696000"
1464,hoteld,200,hotel,"SELECT * from hotel;","2019-07-11 16:33:40.654000"
1465,echod,306,echo,"SELECT * FROM echo WHERE MRRANK_RANK < 385 && (TTY != 'IN' OR TTY != 'HC')","2019-07-11 16:33:41.263000"
1466,echod,306,echo,"SELECT * FROM echo WHERE (MRRANK_RANK < 385 && (TTY != 'IN' OR TTY != 'HC'))","2019-07-11 16:34:10.629000"
1467,echod,306,echo,"SELECT * FROM echo WHERE (MRRANK_RANK < 385 AND (TTY != 'IN' OR TTY != 'HC'))","2019-07-11 16:34:29.527000"
1468,hoteld,200,hotel,"SELECT * from hotel order by TUI DESC;","2019-07-11 16:34:30.598000"
1473,charlied,50,charlie,"SELECT * FROM charlie ORDER BY charlie.ttyl = ""PT""","2019-07-11 16:35:04.743000"
1475,kilod,105,kilo,"select * from kilo group by LUI","2019-07-11 16:35:22.130000"
1480,charlied,105,charlie,"select * from charlie where CFR < 1635","2019-07-11 16:36:26.405000"
